t,o,h,l,c
1766127600,208.79,209.496,208.712,209.483
1766131200,209.482,209.931,209.468,209.884
1766134800,209.89,210.39,209.776,210.362
1766138400,210.364,210.6,210.282,210.51
1766142000,210.512,210.52,210.288,210.373
1766145600,210.378,210.426,210.206,210.288
1766149200,210.285,210.397,210.17,210.378
1766152800,210.378,210.516,210.036,210.484
1766156400,210.476,210.577,210.255,210.414
1766160000,210.416,210.65,210.352,210.6
1766163600,210.601,210.8,210.57,210.61
1766167200,210.609,210.873,210.596,210.862
1766170800,210.864,210.974,210.802,210.947
1766174400,210.937,210.968,210.862,210.9
1766178000,210.902,211.07,210.876,210.976
1766354400,211.394,211.394,210.68,210.69
1766358000,210.686,211.006,210.686,210.884
1766361600,210.882,211.032,210.796,210.961
1766365200,210.959,211.024,210.638,210.71
1766368800,210.709,210.846,210.63,210.834
1766372400,210.833,210.932,210.682,210.724
1766376000,210.726,210.814,210.712,210.785
1766379600,210.788,210.888,210.75,210.824
1766383200,210.825,210.871,210.69,210.754
1766386800,210.757,211.374,210.733,211.262
1766390400,211.261,211.432,211.116,211.432
1766394000,211.43,211.466,211.198,211.376
1766397600,211.378,211.534,211.348,211.466
1766401200,211.464,211.562,211.385,211.546
1766404800,211.548,211.594,211.359,211.446
1766408400,211.447,211.447,210.842,211.227
1766412000,211.224,211.262,211.051,211.196
1766415600,211.198,211.308,211.116,211.196
1766419200,211.196,211.296,211.032,211.171
1766422800,211.172,211.329,211.142,211.288
1766426400,211.288,211.344,211.212,211.283
1766430000,211.284,211.35,211.146,211.166
1766433600,211.168,211.302,211.168,211.272
1766437200,211.272,211.426,211.26,211.414
1766440800,211.278,211.44,211.278,211.376
1766444400,211.365,211.391,211.152,211.284
1766448000,211.283,211.31,210.924,210.935
1766451600,210.933,210.975,210.791,210.811
1766455200,210.81,210.889,210.672,210.748
1766458800,210.749,210.772,210.63,210.633
1766462400,210.632,210.632,210.339,210.354
1766466000,210.356,210.498,210.296,210.39
1766469600,210.389,210.528,210.342,210.404
1766473200,210.404,210.696,210.375,210.676
1766476800,210.674,210.818,210.592,210.641
1766480400,210.644,210.666,210.306,210.59
1766484000,210.59,210.688,210.44,210.686
1766487600,210.689,210.718,210.522,210.566
1766491200,210.566,210.661,210.502,210.618
1766494800,210.618,211.033,210.566,210.922
1766498400,210.922,211.158,210.81,210.852
1766502000,210.854,210.888,210.58,210.814
1766505600,210.816,210.819,210.712,210.764
1766509200,210.766,210.77,210.517,210.529
1766512800,210.528,210.724,210.528,210.694
1766516400,210.694,210.788,210.676,210.766
1766520000,210.762,210.956,210.74,210.94
1766523600,210.944,211.246,210.938,211.158
1766527200,211.132,211.329,210.923,211.046
1766530800,211.042,211.114,210.882,210.97
1766534400,210.97,211.04,210.736,210.75
1766538000,210.75,210.938,210.478,210.521
1766541600,210.508,210.612,210.444,210.608
1766545200,210.608,210.782,210.584,210.761
1766548800,210.762,210.808,210.505,210.526
1766552400,210.526,210.621,210.414,210.555
1766556000,210.553,210.587,210.408,210.496
1766559600,210.49,210.597,210.428,210.462
1766563200,210.462,210.619,210.406,210.54
1766566800,210.544,210.714,210.45,210.649
