t,o,h,l,c
1765753200,1.3372,1.33739,1.3365,1.33674
1765756800,1.33675,1.3368,1.33559,1.33657
1765760400,1.33656,1.33742,1.33575,1.33734
1765764000,1.3373,1.33742,1.33645,1.33682
1765767600,1.33684,1.33706,1.33554,1.33569
1765771200,1.33567,1.33605,1.3355,1.33583
1765774800,1.33582,1.3366,1.33558,1.33642
1765778400,1.33641,1.33672,1.33575,1.33656
1765782000,1.33658,1.33702,1.33585,1.33636
1765785600,1.33636,1.33738,1.33614,1.33678
1765789200,1.33677,1.33886,1.3367,1.33878
1765792800,1.33876,1.3388,1.33746,1.33801
1765796400,1.338,1.33898,1.33795,1.33835
1765800000,1.33834,1.33943,1.33833,1.33901
1765803600,1.33898,1.33966,1.33856,1.33874
1765807200,1.33872,1.34016,1.33828,1.33968
1765810800,1.33968,1.33982,1.33814,1.33948
1765814400,1.33948,1.33958,1.33738,1.33798
1765818000,1.33799,1.33815,1.33657,1.33679
1765821600,1.33678,1.3375,1.33598,1.33661
1765825200,1.33662,1.33734,1.3362,1.33731
1765828800,1.33732,1.33759,1.33702,1.3374
1765832400,1.33739,1.33788,1.33718,1.33774
1765836000,1.33723,1.3376,1.33698,1.33746
1765839600,1.33747,1.33811,1.33745,1.33792
1765843200,1.33794,1.33836,1.33678,1.33699
1765846800,1.33698,1.33731,1.33617,1.33681
1765850400,1.33682,1.3371,1.33658,1.33692
1765854000,1.33692,1.3374,1.33628,1.33655
1765857600,1.33658,1.337,1.33645,1.33678
1765861200,1.33677,1.33696,1.33611,1.33624
1765864800,1.33624,1.33668,1.33554,1.3366
1765868400,1.33662,1.33788,1.33626,1.33754
1765872000,1.33753,1.3395,1.33748,1.33936
1765875600,1.33935,1.34158,1.33925,1.34104
1765879200,1.34104,1.34268,1.34068,1.34232
1765882800,1.34231,1.34312,1.34118,1.3431
1765886400,1.3431,1.34374,1.34266,1.34366
1765890000,1.34366,1.34562,1.34108,1.34256
1765893600,1.34256,1.34461,1.34165,1.34432
1765897200,1.34433,1.34476,1.34042,1.34158
1765900800,1.34158,1.3429,1.34121,1.34267
1765904400,1.3427,1.34404,1.34203,1.34238
1765908000,1.34238,1.34272,1.3409,1.34248
1765911600,1.34248,1.34317,1.33998,1.34258
1765915200,1.34258,1.34362,1.34223,1.34248
1765918800,1.34247,1.34258,1.34196,1.34214
1765922400,1.34234,1.34246,1.34213,1.34218
1765926000,1.34221,1.3427,1.3421,1.34254
1765929600,1.34254,1.3427,1.34196,1.34208
1765933200,1.34208,1.34258,1.34205,1.34248
1765936800,1.34246,1.34246,1.34066,1.34086
1765940400,1.34087,1.34126,1.34066,1.34098
1765944000,1.34098,1.34098,1.33934,1.33948
1765947600,1.33948,1.33959,1.33795,1.33836
1765951200,1.33836,1.33901,1.33722,1.33764
1765954800,1.33764,1.33783,1.33154,1.33228
1765958400,1.33228,1.33318,1.33116,1.33272
1765962000,1.3327,1.33356,1.3323,1.33257
1765965600,1.33258,1.33354,1.33204,1.3335
1765969200,1.33352,1.33376,1.33214,1.33274
1765972800,1.33274,1.33464,1.33262,1.33448
1765976400,1.33448,1.33592,1.33398,1.33563
1765980000,1.33564,1.33665,1.33487,1.3363
1765983600,1.3363,1.34002,1.33559,1.33994
1765987200,1.33994,1.34068,1.33852,1.339
