t,o,h,l,c
1767103200,156.197,156.32,156.124,156.271
1767106800,156.272,156.568,156.272,156.329
1767110400,156.328,156.376,156.224,156.263
1767114000,156.262,156.408,156.249,156.337
1767117600,156.337,156.432,156.311,156.404
1767121200,156.404,156.525,156.378,156.498
1767124800,156.493,156.5,156.429,156.466
1767128400,156.466,156.467,156.403,156.421
1767132000,156.367,156.403,156.361,156.4
1767135600,156.39,156.467,156.334,156.402
1767139200,156.4,156.468,156.332,156.394
1767142800,156.395,156.452,156.356,156.434
1767146400,156.435,156.492,156.424,156.486
1767150000,156.486,156.498,156.45,156.496
1767153600,156.496,156.64,156.495,156.614
1767157200,156.613,156.634,156.55,156.593
1767160800,156.594,156.654,156.582,156.614
1767164400,156.612,156.646,156.57,156.571
1767168000,156.57,156.61,156.509,156.598
1767171600,156.597,156.651,156.558,156.633
1767175200,156.632,156.676,156.596,156.658
1767178800,156.66,156.676,156.605,156.61
1767182400,156.611,156.644,156.552,156.602
1767186000,156.601,156.836,156.588,156.812
1767189600,156.813,156.95,156.796,156.928
1767193200,156.926,156.996,156.718,156.743
1767196800,156.742,156.851,156.644,156.814
1767200400,156.814,156.858,156.766,156.826
1767204000,156.826,156.923,156.802,156.891
1767207600,156.892,156.892,156.678,156.752
1767211200,156.752,156.754,156.631,156.632
1767214800,156.632,156.732,156.616,156.684
1767304800,156.725,156.766,156.718,156.766
1767308400,156.772,156.887,156.705,156.723
1767312000,156.724,156.766,156.544,156.569
1767315600,156.568,156.658,156.522,156.635
1767319200,156.636,156.687,156.594,156.684
1767322800,156.685,156.726,156.65,156.718
1767326400,156.719,156.862,156.718,156.824
1767330000,156.825,156.946,156.82,156.912
1767333600,156.912,156.998,156.91,156.955
1767337200,156.956,156.996,156.832,156.862
1767340800,156.863,157,156.82,156.88
1767344400,156.878,156.919,156.77,156.914
1767348000,156.912,156.928,156.804,156.846
1767351600,156.845,156.95,156.827,156.92
1767355200,156.921,157.004,156.873,156.941
1767358800,156.94,156.961,156.832,156.908
1767362400,156.907,156.922,156.81,156.854
1767366000,156.855,156.894,156.563,156.591
1767369600,156.592,156.773,156.563,156.726
