t,o,h,l,c
1766034000,1.37796,1.37816,1.3777,1.37776
1766037600,1.37775,1.37804,1.37722,1.3773
1766041200,1.3773,1.37742,1.37684,1.37728
1766044800,1.37728,1.3782,1.37726,1.37752
1766048400,1.37753,1.37838,1.37752,1.37822
1766052000,1.37825,1.3783,1.37764,1.37794
1766055600,1.37794,1.37882,1.37782,1.37826
1766059200,1.37826,1.37942,1.37806,1.37925
1766062800,1.37926,1.37962,1.37638,1.37768
1766066400,1.37768,1.37814,1.3768,1.37768
1766070000,1.37768,1.37812,1.37653,1.37664
1766073600,1.37664,1.37684,1.3756,1.37636
1766077200,1.37634,1.37812,1.3762,1.37724
1766080800,1.37722,1.37774,1.37662,1.37764
1766084400,1.37764,1.3783,1.37742,1.37809
1766088000,1.37808,1.37838,1.37776,1.37803
1766091600,1.37804,1.37841,1.37764,1.3778
1766095200,1.37748,1.37798,1.37745,1.37783
1766098800,1.37782,1.37798,1.37724,1.37778
1766102400,1.37778,1.37786,1.37722,1.37723
1766106000,1.37721,1.37812,1.37702,1.37788
1766109600,1.37788,1.37844,1.37756,1.3784
1766113200,1.3784,1.37868,1.37811,1.37836
1766116800,1.37835,1.37892,1.37828,1.3787
1766120400,1.37869,1.37892,1.37852,1.3789
1766124000,1.37888,1.37948,1.3788,1.37916
1766127600,1.37915,1.3797,1.37876,1.37952
1766131200,1.37952,1.37952,1.37862,1.37888
1766134800,1.3789,1.37973,1.37873,1.37944
1766138400,1.37944,1.37978,1.37916,1.37936
1766142000,1.37935,1.38015,1.37929,1.37968
1766145600,1.37969,1.37998,1.3784,1.37927
1766149200,1.37925,1.37957,1.37806,1.37826
1766152800,1.37824,1.37824,1.37552,1.37604
1766156400,1.37603,1.37868,1.37578,1.37846
1766160000,1.37846,1.37882,1.37737,1.37808
1766163600,1.37808,1.37862,1.3775,1.37796
1766167200,1.37796,1.37826,1.37734,1.37818
1766170800,1.3782,1.3787,1.37806,1.37866
1766174400,1.37865,1.3806,1.37857,1.37998
1766178000,1.37996,1.3806,1.37933,1.38018
1766354400,1.37953,1.38052,1.37945,1.37996
1766358000,1.37984,1.37993,1.37914,1.37918
1766361600,1.37917,1.37981,1.37902,1.37943
1766365200,1.37944,1.38012,1.37911,1.37986
1766368800,1.37985,1.37985,1.37936,1.37964
1766372400,1.37965,1.37988,1.37942,1.37986
1766376000,1.37984,1.37984,1.37927,1.37942
1766379600,1.37944,1.37951,1.37922,1.37926
1766383200,1.37926,1.37964,1.37913,1.37946
1766386800,1.37946,1.37946,1.37809,1.37818
1766390400,1.3782,1.37848,1.37768,1.37776
1766394000,1.37776,1.37795,1.37698,1.37716
1766397600,1.37716,1.37727,1.3767,1.37684
1766401200,1.37684,1.37705,1.37654,1.37672
1766404800,1.37671,1.37736,1.37652,1.3768
1766408400,1.37677,1.37694,1.37552,1.37554
1766412000,1.37554,1.37644,1.37432,1.37454
1766415600,1.37454,1.37491,1.37402,1.37424
1766419200,1.37424,1.37462,1.3736,1.37457
1766422800,1.37456,1.37474,1.37368,1.37384
1766426400,1.37384,1.3744,1.3736,1.37434
